"country" "region" "year" "iso"
"Burundi" "Sub-Saharan Africa" 2006 "BDI"
"Cambodia" "East Asia & Pacific" 1994 "KHM"
"Cambodia" "East Asia & Pacific" 2004 "KHM"
"Cambodia" "East Asia & Pacific" 2007 "KHM"
"Cambodia" "East Asia & Pacific" 2008 "KHM"
"Cambodia" "East Asia & Pacific" 2009 "KHM"
"Cameroon" "Sub-Saharan Africa" 1996 "CMR"
"Cameroon" "Sub-Saharan Africa" 2001 "CMR"
"Cameroon" "Sub-Saharan Africa" 2007 "CMR"
"Cape Verde" "Sub-Saharan Africa" 2001.7 "CPV"
"Central African Republic" "Sub-Saharan Africa" 1992.4 "CAF"
"Central African Republic" "Sub-Saharan Africa" 2003 "CAF"
"Central African Republic" "Sub-Saharan Africa" 2008 "CAF"
"Chad" "Sub-Saharan Africa" 2002.5 "TCD"
"Chile" "Latin America & Caribbean" 1987 "CHL"
"Chile" "Latin America & Caribbean" 1990 "CHL"
"Chile" "Latin America & Caribbean" 1992 "CHL"
"Chile" "Latin America & Caribbean" 1994 "CHL"
"Chile" "Latin America & Caribbean" 1996 "CHL"
"Chile" "Latin America & Caribbean" 1998 "CHL"
"Chile" "Latin America & Caribbean" 2000 "CHL"
"Chile" "Latin America & Caribbean" 2003 "CHL"
"Chile" "Latin America & Caribbean" 2006 "CHL"
"Chile" "Latin America & Caribbean" 2009 "CHL"
"China" "East Asia & Pacific" 1981 "CHN"
"China" "East Asia & Pacific" 1984 "CHN"
"China" "East Asia & Pacific" 1987 "CHN"
"China" "East Asia & Pacific" 1990 "CHN"
"China" "East Asia & Pacific" 1993 "CHN"
"China" "East Asia & Pacific" 1996 "CHN"
"China" "East Asia & Pacific" 1999 "CHN"
"China" "East Asia & Pacific" 2002 "CHN"
"China" "East Asia & Pacific" 2005 "CHN"
"China" "East Asia & Pacific" 2008 "CHN"
"China" "East Asia & Pacific" 2009 "CHN"
"Colombia" "Latin America & Caribbean" 1992 "COL"
"Colombia" "Latin America & Caribbean" 1996 "COL"
"Colombia" "Latin America & Caribbean" 1999 "COL"
"Colombia" "Latin America & Caribbean" 2000 "COL"
"Colombia" "Latin America & Caribbean" 2001 "COL"
"Colombia" "Latin America & Caribbean" 2002 "COL"
"Colombia" "Latin America & Caribbean" 2003 "COL"
"Colombia" "Latin America & Caribbean" 2004 "COL"
"Colombia" "Latin America & Caribbean" 2005 "COL"
"Colombia" "Latin America & Caribbean" 2006 "COL"
"Colombia" "Latin America & Caribbean" 2007 "COL"
"Colombia" "Latin America & Caribbean" 2008 "COL"
"Colombia" "Latin America & Caribbean" 2009 "COL"
"Colombia" "Latin America & Caribbean" 2010 "COL"
"Comoros" "Sub-Saharan Africa" 2004 "COM"
"Congo, Dem. Rep." "Sub-Saharan Africa" 2005.5 "COD"
"Congo, Rep." "Sub-Saharan Africa" 2005 "COG"
"Costa Rica" "Latin America & Caribbean" 1981 "CRI"
"Costa Rica" "Latin America & Caribbean" 1986 "CRI"
"Costa Rica" "Latin America & Caribbean" 1989 "CRI"
"Costa Rica" "Latin America & Caribbean" 1990 "CRI"
"Costa Rica" "Latin America & Caribbean" 1991 "CRI"
"Costa Rica" "Latin America & Caribbean" 1992 "CRI"
"Costa Rica" "Latin America & Caribbean" 1993 "CRI"
"Costa Rica" "Latin America & Caribbean" 1994 "CRI"
"Costa Rica" "Latin America & Caribbean" 1995 "CRI"
"Costa Rica" "Latin America & Caribbean" 1996 "CRI"
"Costa Rica" "Latin America & Caribbean" 1997 "CRI"
"Costa Rica" "Latin America & Caribbean" 1998 "CRI"
"Costa Rica" "Latin America & Caribbean" 1999 "CRI"
"Costa Rica" "Latin America & Caribbean" 2000 "CRI"
"Costa Rica" "Latin America & Caribbean" 2001 "CRI"
"Costa Rica" "Latin America & Caribbean" 2002 "CRI"
"Costa Rica" "Latin America & Caribbean" 2003 "CRI"
"Costa Rica" "Latin America & Caribbean" 2004 "CRI"
"Costa Rica" "Latin America & Caribbean" 2005 "CRI"
"Costa Rica" "Latin America & Caribbean" 2006 "CRI"
"Costa Rica" "Latin America & Caribbean" 2007 "CRI"
"Costa Rica" "Latin America & Caribbean" 2008 "CRI"
"Costa Rica" "Latin America & Caribbean" 2009 "CRI"
"Cote d'Ivoire" "Sub-Saharan Africa" 1985 "CIV"
"Cote d'Ivoire" "Sub-Saharan Africa" 1986 "CIV"
"Cote d'Ivoire" "Sub-Saharan Africa" 1987 "CIV"
"Cote d'Ivoire" "Sub-Saharan Africa" 1988 "CIV"
"Cote d'Ivoire" "Sub-Saharan Africa" 1993 "CIV"
"Cote d'Ivoire" "Sub-Saharan Africa" 1995 "CIV"
"Cote d'Ivoire" "Sub-Saharan Africa" 1998 "CIV"
"Cote d'Ivoire" "Sub-Saharan Africa" 2002 "CIV"
"Cote d'Ivoire" "Sub-Saharan Africa" 2008 "CIV"
"Croatia" "Europe & Central Asia" 1988 "HRV"
"Croatia" "Europe & Central Asia" 1998 "HRV"
"Croatia" "Europe & Central Asia" 1999 "HRV"
"Croatia" "Europe & Central Asia" 2000 "HRV"
"Croatia" "Europe & Central Asia" 2001 "HRV"
"Croatia" "Europe & Central Asia" 2004 "HRV"
"Croatia" "Europe & Central Asia" 2008 "HRV"
"Czech Republic" "Europe & Central Asia" 1988 "CZE"
"Czech Republic" "Europe & Central Asia" 1993 "CZE"
"Czech Republic" "Europe & Central Asia" 1996 "CZE"
"Djibouti" "Middle East & North Africa" 2002 "DJI"
"Dominican Republic" "Latin America & Caribbean" 1986 "DOM"
"Dominican Republic" "Latin America & Caribbean" 1989 "DOM"
"Dominican Republic" "Latin America & Caribbean" 1992 "DOM"
"Dominican Republic" "Latin America & Caribbean" 1996 "DOM"
"Dominican Republic" "Latin America & Caribbean" 1997 "DOM"
"Dominican Republic" "Latin America & Caribbean" 2000 "DOM"
"Dominican Republic" "Latin America & Caribbean" 2001 "DOM"
"Dominican Republic" "Latin America & Caribbean" 2002 "DOM"
"Dominican Republic" "Latin America & Caribbean" 2003 "DOM"
"Dominican Republic" "Latin America & Caribbean" 2004 "DOM"
"Dominican Republic" "Latin America & Caribbean" 2005 "DOM"
"Dominican Republic" "Latin America & Caribbean" 2006 "DOM"
"Dominican Republic" "Latin America & Caribbean" 2007 "DOM"
"Dominican Republic" "Latin America & Caribbean" 2008 "DOM"
"Dominican Republic" "Latin America & Caribbean" 2009 "DOM"
"Dominican Republic" "Latin America & Caribbean" 2010 "DOM"
"Ecuador" "Latin America & Caribbean" 1987 "ECU"
"Ecuador" "Latin America & Caribbean" 1994 "ECU"
"Ecuador" "Latin America & Caribbean" 1998 "ECU"
"Ecuador" "Latin America & Caribbean" 1999 "ECU"
"Ecuador" "Latin America & Caribbean" 2000 "ECU"
"Ecuador" "Latin America & Caribbean" 2003 "ECU"
"Ecuador" "Latin America & Caribbean" 2005 "ECU"
"Ecuador" "Latin America & Caribbean" 2006 "ECU"
"Ecuador" "Latin America & Caribbean" 2007 "ECU"
"Ecuador" "Latin America & Caribbean" 2008 "ECU"
"Ecuador" "Latin America & Caribbean" 2009 "ECU"
"Ecuador" "Latin America & Caribbean" 2010 "ECU"
"Egypt, Arab Rep." "Middle East & North Africa" 1990.5 "EGY"
"Egypt, Arab Rep." "Middle East & North Africa" 1995.8 "EGY"
"Egypt, Arab Rep." "Middle East & North Africa" 1999.8 "EGY"
"Egypt, Arab Rep." "Middle East & North Africa" 2004.5 "EGY"
"Egypt, Arab Rep." "Middle East & North Africa" 2008.3 "EGY"
"El Salvador" "Latin America & Caribbean" 1989 "SLV"
"El Salvador" "Latin America & Caribbean" 1991 "SLV"
"El Salvador" "Latin America & Caribbean" 1995 "SLV"
"El Salvador" "Latin America & Caribbean" 1996 "SLV"
"El Salvador" "Latin America & Caribbean" 1998 "SLV"
"El Salvador" "Latin America & Caribbean" 1999 "SLV"
"El Salvador" "Latin America & Caribbean" 2001 "SLV"
"El Salvador" "Latin America & Caribbean" 2002 "SLV"
"El Salvador" "Latin America & Caribbean" 2003 "SLV"
"El Salvador" "Latin America & Caribbean" 2004 "SLV"
"El Salvador" "Latin America & Caribbean" 2005 "SLV"
"El Salvador" "Latin America & Caribbean" 2006 "SLV"
"El Salvador" "Latin America & Caribbean" 2007 "SLV"
"El Salvador" "Latin America & Caribbean" 2008 "SLV"
"El Salvador" "Latin America & Caribbean" 2009 "SLV"
"Estonia" "Europe & Central Asia" 1988 "EST"
"Estonia" "Europe & Central Asia" 1993 "EST"
"Estonia" "Europe & Central Asia" 1995 "EST"
"Estonia" "Europe & Central Asia" 1998 "EST"
